DATE,ADJ_ALL,EVT_TOTAL,ALL_REV_DELTA,ADJ_PURCHASE,EVT_PURCHASE,PURCHASE_DELTA
2025-11-22,40376.897000000004,48831.36,-8454.462999999996,40376.897000000004,41733.8,-1356.9029999999984
2025-11-21,39658.848,48280.74,-8621.892,39658.848,40861.45,-1202.601999999999
2025-11-20,43130.732,51922.7,-8791.967999999993,43130.732,44539.19,-1408.4579999999987
2025-11-19,29210.666,37559.83,-8349.164,29210.666,29781.45,-570.7839999999997
2025-11-18,29255.465999999997,38115.22,-8859.754000000004,29255.465999999997,30143.880000000005,-888.414000000008
2025-11-17,28780.018999999997,37803.07,-9023.051000000003,28780.018999999997,30064.43,-1284.4110000000037
2025-11-16,35067.747,43218.71,-8150.962999999996,35067.747,36027.909999999996,-960.1629999999932
2025-11-15,39052.793999999994,48501.71000000001,-9448.916000000012,39052.793999999994,40955.68,-1902.8860000000059
2025-11-14,35437.75,45521.37,-10083.620000000003,35437.75,36337.82,-900.0699999999997
2025-11-13,37939.794,48683.0,-10743.205999999998,37939.794,39186.17,-1246.3759999999966
2025-11-12,28729.653,40956.12,-12226.467000000004,28729.653,29822.629999999997,-1092.976999999999
2025-11-11,33650.385,47540.05,-13889.665,33650.385,34644.25,-993.864999999998
2025-11-10,30813.746,44477.08,-13663.334000000003,30813.746,31567.530000000002,-753.7840000000033
2025-11-09,36056.055,49893.759999999995,-13837.704999999994,36056.055,37524.380000000005,-1468.3250000000044
2025-11-08,45511.799,57555.490000000005,-12043.691000000006,45511.799,46379.740000000005,-867.9410000000062
2025-11-07,49792.041999999994,60383.81,-10591.768000000004,49792.041999999994,51247.07,-1455.0280000000057
2025-11-06,46028.47000000001,56006.270000000004,-9977.799999999996,46028.47000000001,47630.84,-1602.369999999988
2025-11-05,26050.479,36943.689999999995,-10893.210999999996,26050.479,27005.539999999997,-955.0609999999979
2025-11-04,29198.461000000003,38900.020000000004,-9701.559000000001,29198.461000000003,29444.61,-246.1489999999976
2025-11-03,27983.675,39033.69,-11050.015000000003,27983.675,28670.809999999998,-687.1349999999984
2025-11-02,32563.378,46329.01,-13765.632000000001,32563.378,32937.91,-374.5320000000029
2025-11-01,42269.896,51769.75,-9499.854,42269.896,40865.96,1403.9360000000015
2025-10-31,48277.849,61445.69,-13167.841,48277.849,49829.56,-1551.7109999999957
2025-10-30,57360.562000000005,67120.05,-9759.487999999998,57360.562000000005,58965.91,-1605.3479999999981
2025-10-29,34475.962999999996,44074.759999999995,-9598.796999999999,34475.962999999996,35556.32,-1080.3570000000036
2025-10-28,26585.71,36248.65,-9662.940000000002,26585.71,27510.170000000002,-924.4600000000028
2025-10-27,26355.73,38586.46,-12230.73,26355.73,27472.47,-1116.7400000000016
2025-10-26,28194.900999999998,39763.719999999994,-11568.818999999996,28194.900999999998,29520.020000000004,-1325.119000000006
2025-10-25,29674.320000000003,41613.450000000004,-11939.130000000001,29674.320000000003,30701.699999999997,-1027.3799999999937
2025-10-24,32166.533,44322.71,-12156.177,32166.533,33340.240000000005,-1173.7070000000058
2025-10-23,29528.689000000002,38844.18,-9315.490999999998,29528.689000000002,30764.940000000002,-1236.2510000000002
2025-10-22,30975.233999999997,40863.57,-9888.336000000003,30975.233999999997,31862.68,-887.4460000000036
2025-10-21,33803.697,42874.66,-9070.963000000003,33803.697,34188.6,-384.9029999999984
2025-10-20,35273.709,43383.45999999999,-8109.750999999989,35273.709,36257.8,-984.0910000000003
2025-10-19,33973.528,41579.32,-7605.792000000001,33973.528,33576.82,396.7079999999987
2025-10-18,36967.338,45073.9,-8106.561999999998,36967.338,37176.399999999994,-209.0619999999908
2025-10-17,34745.75399999999,44889.14,-10143.386000000006,34745.75399999999,35845.23,-1099.4760000000097
2025-10-16,34829.822,45478.26,-10648.438000000002,34829.822,35451.18,-621.3580000000002
2025-10-15,33034.675,44119.880000000005,-11085.205000000002,33034.675,33941.46,-906.7849999999962
2025-10-14,32032.817,43395.89,-11363.073,32032.817,32229.910000000003,-197.0930000000044
2025-10-13,35047.102999999996,48788.09,-13740.987000000001,35047.102999999996,35822.490000000005,-775.3870000000097
2025-10-12,30153.0,45546.73000000001,-15393.73000000001,30153.0,31553.74,-1400.7400000000016
2025-10-11,34480.520000000004,51192.69,-16712.17,34480.520000000004,36365.18,-1884.6599999999962
2025-10-10,37923.38700000001,50037.62,-12114.232999999993,37923.38700000001,38424.6,-501.2129999999888
2025-10-09,46407.568,53319.119999999995,-6911.551999999996,46407.568,45812.43,595.137999999999
2025-10-08,37170.496,45119.920000000006,-7949.424000000006,37170.496,37480.98,-310.484000000004
2025-10-07,38473.102,45985.44,-7512.338000000003,38473.102,38118.08,355.0219999999972
2025-10-06,36532.214,44665.78,-8133.565999999999,36532.214,36586.97,-54.75600000000122
2025-10-05,30621.414,39466.04,-8844.626,30621.414,31048.28,-426.86599999999817
2025-10-04,34690.748,41635.71,-6944.9619999999995,34690.748,34986.92,-296.17199999999866
2025-10-03,37350.718,44217.619999999995,-6866.901999999995,37350.718,37059.95,290.76800000000367
2025-10-02,35061.628000000004,42864.950000000004,-7803.322,35061.628000000004,34802.26,259.3680000000022
2025-10-01,32840.434,40653.57,-7813.135999999999,32840.434,32856.04,-15.605999999999767
2025-09-30,32706.385000000002,41879.62,-9173.235,32706.385000000002,32561.890000000003,144.49499999999898
2025-09-29,36371.331,44906.03,-8534.699,36371.331,36075.729999999996,295.6010000000024
2025-09-28,30637.987,41122.950000000004,-10484.963000000003,30637.987,31166.11,-528.1229999999996
2025-09-27,39208.052,49611.61,-10403.557999999997,39208.052,39248.74,-40.687999999994645
2025-09-26,48786.274,57842.75,-9056.476000000002,48786.274,48518.6,267.67399999999907
2025-09-25,57735.986000000004,66349.26,-8613.27399999999,57735.986000000004,57778.85,-42.86399999999412
2025-09-24,37713.239,47015.34,-9302.100999999995,37713.239,37503.23,210.0089999999982
2025-09-23,36673.905999999995,45120.68,-8446.774000000005,36673.905999999995,36426.45999999999,247.44600000000355
2025-09-22,34319.99,44479.82000000001,-10159.830000000009,34319.99,33317.56,1002.4300000000003
2025-09-21,30585.653000000002,44959.030000000006,-14373.377000000004,30585.653000000002,30595.31,-9.656999999999243
2025-09-20,30007.77,44094.850000000006,-14087.080000000005,30007.77,29868.72,139.04999999999927
2025-09-19,37232.103,51475.38,-14243.276999999995,37232.103,36488.7,743.4030000000057
2025-09-18,37655.473,45074.96000000001,-7419.487000000008,37655.473,37557.8,97.67299999999523
2025-09-17,32228.478,41124.729999999996,-8896.251999999997,32228.478,32484.56,-256.08200000000215
2025-09-16,36348.072,45076.71,-8728.637999999999,36348.072,36601.70999999999,-253.63799999999173
2025-09-15,34936.796,42957.93,-8021.133999999998,34936.796,34950.950000000004,-14.15400000000227
2025-09-14,28488.248,35264.26,-6776.012000000002,28488.248,28343.160000000003,145.0879999999961
2025-09-13,31883.798,39551.18000000001,-7667.382000000009,31883.798,32305.02,-421.2220000000016
2025-09-12,37725.816,44571.58,-6845.764000000003,37725.816,36889.649999999994,836.1660000000047
2025-09-11,40549.33899999999,48046.1,-7496.761000000006,40549.33899999999,40054.15,495.1889999999912
2025-09-10,32290.691000000003,39760.869999999995,-7470.178999999993,32290.691000000003,32102.589999999997,188.10100000000602
2025-09-09,32226.806,40213.97000000001,-7987.164000000008,32226.806,32080.940000000006,145.86599999999453
2025-09-08,33980.694,41733.64,-7752.945999999996,33980.694,33676.840000000004,303.85399999999936
2025-09-07,30446.831000000002,38536.81,-8089.978999999996,30446.831000000002,30483.04,-36.20899999999892
2025-09-06,32710.063000000002,41265.479999999996,-8555.416999999994,32710.063000000002,33212.729999999996,-502.666999999994
2025-09-05,35128.507,43974.97,-8846.463000000003,35128.507,35113.340000000004,15.166999999994005
2025-09-04,36415.780999999995,45400.399999999994,-8984.618999999999,36415.780999999995,35927.229999999996,488.5509999999995
2025-09-03,31937.691,42776.34,-10838.648999999998,31937.691,32109.16,-171.46900000000096
2025-09-02,34277.936,45156.87000000001,-10878.934000000008,34277.936,34250.219999999994,27.716000000007625
2025-09-01,39925.803,52605.48999999999,-12679.68699999999,39925.803,39037.65,888.1529999999984
2025-08-31,29781.092,43605.75,-13824.658,29781.092,29707.97,73.12199999999939
2025-08-30,32797.185000000005,47584.5,-14787.314999999995,32797.185000000005,32744.030000000002,53.155000000002474
2025-08-29,46105.975,65269.55,-19163.575000000004,46105.975,46242.71000000001,-136.73500000000786
2025-08-28,52404.382000000005,62349.689999999995,-9945.30799999999,52404.382000000005,52166.62000000001,237.76199999999517
2025-08-27,37059.143,44530.479999999996,-7471.3369999999995,37059.143,36575.009999999995,484.13300000000163
2025-08-26,28965.738,37077.89,-8112.151999999998,28965.738,28510.550000000003,455.1879999999983
2025-08-25,29969.252,38398.26,-8429.008000000002,29969.252,29640.41,328.84200000000055
2025-08-24,35094.633,42526.03,-7431.396999999997,35094.633,35170.53,-75.8969999999972
2025-08-23,40393.828,47795.369999999995,-7401.541999999994,40393.828,40715.38,-321.55199999999604
2025-08-22,33071.072,42838.329999999994,-9767.257999999994,33071.072,33272.78,-201.70799999999872
2025-08-21,33767.733,42522.14,-8754.407,33767.733,34526.11,-758.3770000000004
2025-08-20,34801.415,42228.59,-7427.174999999996,34801.415,34179.14,622.2750000000015
2025-08-19,25417.802000000003,33649.51,-8231.707999999999,25417.802000000003,25122.8,295.00200000000405
2025-08-18,29490.911000000004,38609.740000000005,-9118.829000000002,29490.911000000004,29274.65,216.26100000000224
2025-08-17,37236.587,48264.49,-11027.902999999998,37236.587,37749.08,-512.4930000000022
2025-08-16,37400.045000000006,47550.07,-10150.024999999994,37400.045000000006,37081.049999999996,318.9950000000099
2025-08-15,34288.645000000004,44065.36,-9776.714999999997,34288.645000000004,34716.189999999995,-427.544999999991
