DATE,API_INSTALLS,S3_INSTALLS,DELTA,PCT_DELTA
2025-08-04,10269,6639,3630,0.3534910896874087
2025-08-03,11411,7297,4114,0.36052931381999825
2025-08-02,10402,6538,3864,0.3714670255720054
2025-08-01,10172,6544,3628,0.3566653558788832
2025-07-31,10360,6490,3870,0.3735521235521235
2025-07-30,10246,6337,3909,0.3815147374585204
2025-07-29,10282,6362,3920,0.3812487842832134
2025-07-28,10046,6118,3928,0.3910013935894884
2025-07-27,10409,6285,4124,0.3961955999615717
2025-07-26,8934,5152,3782,0.4233266174166107
2025-07-25,7852,4372,3480,0.4431991849210392
2025-07-24,8071,4318,3753,0.4649981414942386
2025-07-23,8317,4352,3965,0.4767343994228688
2025-07-22,8584,4454,4130,0.48112767940354145
2025-07-21,8609,4973,3636,0.42234870484376813
2025-07-20,9431,5602,3829,0.4060014844661224
2025-07-19,8956,5264,3692,0.41223760607414023
2025-07-18,8469,4807,3662,0.43240051954185854
2025-07-17,8080,4605,3475,0.43007425742574257
2025-07-16,7699,4416,3283,0.4264190154565528
2025-07-15,7903,4548,3355,0.42452233329115524
2025-07-14,8166,4716,3450,0.4224834680382072
2025-07-13,8707,4987,3720,0.42724244860457106
2025-07-12,8220,4592,3628,0.44136253041362533
2025-07-11,7699,4377,3322,0.4314846083907001
2025-07-10,7831,4290,3541,0.45217724428553185
2025-07-09,7462,4066,3396,0.4551058697400161
2025-07-08,7419,4112,3307,0.4457474053106888
2025-07-07,7779,4348,3431,0.4410592621159532
2025-07-06,8556,4881,3675,0.42952314165497896
2025-07-05,7948,4396,3552,0.44690488173125315
2025-07-04,7766,4277,3489,0.4492660314190059
2025-07-03,8067,4461,3606,0.4470063220528077
2025-07-02,7771,4359,3412,0.4390683309741346
2025-07-01,7836,4471,3365,0.42942827973455844
2025-06-30,8222,4742,3480,0.42325468255898807
2025-06-29,8811,4912,3899,0.442515038020656
2025-06-28,8583,4671,3912,0.45578469066759875
2025-06-27,8104,4495,3609,0.4453356367226061
2025-06-26,8006,4391,3615,0.4515363477391956
2025-06-25,8510,4696,3814,0.4481786133960047
2025-06-24,8378,4457,3921,0.4680114585820005
2025-06-23,8196,4429,3767,0.4596144460712543
2025-06-22,8899,4735,4164,0.4679177435666929
2025-06-21,8587,4591,3996,0.4653546057994643
2025-06-20,8554,4493,4061,0.4747486555997194
2025-06-19,9156,4597,4559,0.49792485801660114
2025-06-18,9419,4703,4716,0.5006900944898609
2025-06-17,9274,4916,4358,0.4699158938969161
2025-06-16,9676,5260,4416,0.45638693675072345
2025-06-15,11380,6149,5231,0.45966608084358523
2025-06-14,10493,5728,4765,0.454112265319737
2025-06-13,8752,4817,3935,0.44961151736745886
2025-06-12,9194,4779,4415,0.48020448118338044
2025-06-11,8922,4720,4202,0.4709706343869088
2025-06-10,9078,4805,4273,0.47069839171623706
2025-06-09,9828,5198,4630,0.4711029711029711
2025-06-08,10784,5261,5523,0.5121476261127597
2025-06-07,10621,5384,5237,0.49307974766971097
2025-06-06,9578,4633,4945,0.5162873251200668
2025-06-05,9523,4729,4794,0.5034127900871574
2025-06-04,9790,4798,4992,0.5099080694586312
2025-06-03,9389,4559,4830,0.5144317818724039
2025-06-02,9762,4685,5077,0.5200778528989961
2025-06-01,10177,4966,5211,0.5120369460548295
2025-05-31,9609,4208,5401,0.5620772192735977
2025-05-30,10498,5372,5126,0.4882834825681082
2025-05-29,7325,2260,5065,0.6914675767918089
2025-05-28,7748,2822,4926,0.6357769747031492
2025-05-27,10183,5341,4842,0.4754983796523618
2025-05-26,10968,5837,5131,0.4678154631655726
2025-05-25,11303,6018,5285,0.4675749800937804
