DATE,EXEC_TOTAL,EXEC_PURCHASE,EXEC_D7,BIZ_TOTAL,PLAT_TOTAL,MMM_ALL,DESKTOP_WEB_REVENUE_DELTA
2025-10-18,37097.328,37097.328,1553.8600000000001,56878.229999999996,56878.229999999996,36967.337999999996,19780.901999999995
2025-10-17,34803.882,34803.882,1686.6700000000003,57941.36,57941.35999999999,34745.75399999999,23137.478000000003
2025-10-16,34932.740999999995,34932.740999999995,1062.98,58777.17,58777.170000000006,34829.822,23844.429000000004
2025-10-15,33054.655,33054.655,1298.2299999999998,55844.259999999995,55844.259999999995,33034.675,22789.604999999996
2025-10-14,32032.817,32032.817,1556.15,55180.43,55180.43,32032.816999999995,23147.613
2025-10-13,35188.876,35188.876,1657.2700000000002,60791.65,60791.65,35047.102999999996,25602.774000000005
2025-10-12,30385.015,30385.015,2183.41,54689.95,54689.950000000004,30153.000000000004,24304.934999999998
2025-10-11,34744.933,34744.933,1868.6399999999999,62952.61,62952.61,34480.520000000004,28207.677000000003
2025-10-10,38076.943,38076.943,1397.3300000000002,63873.45,63873.45,37923.387,25796.506999999998
2025-10-09,46585.520000000004,46585.520000000004,883.8,71688.24,71688.24,46407.568,25102.72
2025-10-08,37432.794,37432.794,2124.47,56935.07,56935.07,37170.496,19502.275999999998
2025-10-07,38806.289,38806.289,2238.21,58219.689999999995,58219.689999999995,38473.102,19413.400999999998
2025-10-06,36780.611000000004,36780.611000000004,1202.77,58712.259999999995,58712.26,36532.214,21931.64899999999
2025-10-05,30928.135,30928.135,2026.86,47792.99,47792.99,30621.413999999997,16864.855
2025-10-04,34787.198000000004,34787.198000000004,1935.1000000000004,53524.39,53524.39,34690.748,18737.191999999995
2025-10-03,37585.09099999999,37585.09099999999,1541.13,57527.91,57527.91,37350.718,19942.81900000001
2025-10-02,35169.483,35169.483,1141.2200000000003,54334.130000000005,54334.130000000005,35061.628000000004,19164.647000000004
2025-10-01,32959.395000000004,32959.395000000004,2516.1200000000003,51319.75,51319.75000000001,32840.434,18360.354999999996
2025-09-30,32798.66,32798.66,2482.3200000000006,52347.67,52347.670000000006,32706.385000000006,19549.009999999995
2025-09-29,36517.844,36517.844,2136.8999999999996,56566.32000000001,56566.32,36371.331,20048.47600000001
2025-09-28,30763.336,30763.336,2031.47,50510.78,50510.77999999999,30637.987,19747.444
2025-09-27,39418.107,39418.107,2665.84,62698.05,62698.05,39208.051999999996,23279.943
2025-09-26,48939.889,48939.889,2291.9199999999996,77248.75,77248.75,48786.274,28308.860999999997
2025-09-25,57953.640999999996,57953.640999999996,1121.47,95144.59000000001,95144.59,57735.986000000004,37190.949000000015
2025-09-24,37938.769,37938.769,1505.6499999999999,60748.87999999999,60748.880000000005,37713.238999999994,22810.11099999999
2025-09-23,36945.746999999996,36945.746999999996,1765.19,58238.23,58238.23000000001,36673.906,21292.483000000007
2025-09-22,34552.576,34552.576,1862.2899999999997,55925.84,55925.84,34319.99,21373.263999999996
2025-09-21,30718.398,30718.398,1988.9999999999998,55355.56999999999,55355.57000000001,30585.653000000002,24637.17199999999
2025-09-20,30283.935999999998,30283.935999999998,1721.1400000000003,53777.27,53777.26999999999,30007.77,23493.334
2025-09-19,37312.397,37312.397,1565.72,63915.18000000001,63915.18,37232.102999999996,26602.78300000001
2025-09-18,37760.969,37760.969,1698.79,57860.840000000004,57860.840000000004,37655.473,20099.871000000006
2025-09-17,32468.304,32468.304,1531.7600000000002,50579.090000000004,50579.090000000004,32228.478000000003,18110.786000000004
2025-09-16,36628.814,36628.814,1123.05,58924.840000000004,58924.84,36348.07200000001,22296.026000000005
2025-09-15,35237.028,35237.028,2098.3199999999997,56119.93000000001,56119.93000000001,34936.796,20882.90200000001
2025-09-14,28579.21,28579.21,1728.7200000000003,43620.89,43620.89,28488.248,15041.68
2025-09-13,32163.082000000002,32163.082000000002,2312.78,49364.759999999995,49364.759999999995,31883.798,17201.677999999993
2025-09-12,37767.734,37767.734,1181.26,59183.83000000001,59183.83,37725.816,21416.096000000012
2025-09-11,40697.122,40697.122,1414.42,66730.01,66730.01000000001,40549.339,26032.88799999999
2025-09-10,32448.09,32448.09,1386.16,49717.47,49717.47,32290.691000000003,17269.38
2025-09-09,32386.862,32386.862,1708.43,50644.03000000001,50644.03,32226.806,18257.168000000012
2025-09-08,34099.733,34099.733,1769.3500000000001,54277.54999999999,54277.55,33980.694,20177.81699999999
2025-09-07,30570.844,30570.844,1270.2600000000002,47142.93,47142.92999999999,30446.830999999995,16572.086
2025-09-06,32899.090000000004,32899.090000000004,2284.4,52890.51,52890.51,32710.063000000002,19991.42
2025-09-05,35310.716,35310.716,1553.1799999999998,56169.649999999994,56169.65,35128.507,20858.933999999994
2025-09-04,36542.335,36542.335,1413.1400000000003,59357.950000000004,59357.950000000004,36415.780999999995,22815.615000000005
2025-09-03,32063.883,32063.883,1650.33,54874.56999999999,54874.57000000001,31937.690999999995,22810.68699999999
2025-09-02,34533.187000000005,34533.187000000005,1624.3000000000002,59688.83000000001,59688.83,34277.936,25155.643000000004
2025-09-01,40059.949,40059.949,2645.9999999999995,67655.48000000001,67655.48000000001,39925.803,27595.53100000001
2025-08-31,29829.387000000002,29829.387000000002,2064.83,53584.96,53584.96,29781.091999999997,23755.572999999997
2025-08-30,33040.981,33040.981,2037.62,59238.76,59238.76,32797.185000000005,26197.779000000002
2025-08-29,46351.693,46351.693,2057.92,86133.64,86133.64,46105.975000000006,39781.947
2025-08-28,52649.73299999999,52649.73299999999,2256.3799999999997,84868.68,84868.68,52404.382,32218.947
2025-08-27,37142.40499999999,37142.40499999999,1336.93,57079.28999999999,57079.29,37059.143,19936.885000000002
2025-08-26,29127.152,29127.152,1639.91,48313.06,48313.06,28965.738,19185.908
2025-08-25,30082.599,30082.599,1715.83,49473.28,49473.27999999999,29969.252,19390.681
2025-08-24,35161.253000000004,35161.253000000004,1745.19,53521.530000000006,53521.53,35094.633,18360.277000000002
2025-08-23,40518.459,40518.459,1707.92,61052.59,61052.59000000001,40393.828,20534.130999999994
2025-08-22,33113.282,33113.282,1879.93,54275.71,54275.71,33071.072,21162.428
2025-08-21,33960.879,33960.879,2312.5899999999997,54608.07,54608.06999999999,33767.733,20647.191
2025-08-20,34867.147,34867.147,2404.22,53969.729999999996,53969.73000000001,34801.415,19102.583
2025-08-19,25461.898999999998,25461.898999999998,1347.1100000000001,43539.93,43539.93,25417.802,18078.031000000003
2025-08-18,29542.686000000005,29542.686000000005,2268.99,49301.5,49301.50000000001,29490.911,19758.813999999995
2025-08-17,37391.242999999995,37391.242999999995,1634.1100000000001,61512.5,61512.5,37236.587,24121.257000000005
2025-08-16,37625.496,37625.496,1665.77,59601.83,59601.83,37400.045,21976.334000000003
2025-08-15,34410.075,34410.075,1444.9899999999998,56159.479999999996,56159.48,34288.645000000004,21749.405
2025-08-14,35289.202000000005,35289.202000000005,1698.9900000000002,56538.11,56538.11,35210.604999999996,21248.907999999996
2025-08-13,34017.187999999995,34017.187999999995,2412.27,53124.59,53124.590000000004,33889.358,19107.402000000002
2025-08-12,33733.028,33733.028,2482.61,53945.729999999996,53945.73,33613.18200000001,20212.701999999997
2025-08-11,33480.956999999995,33480.956999999995,2150.27,53496.520000000004,53496.520000000004,33384.28,20015.56300000001
2025-08-10,30459.907,30459.907,2097.99,45678.369999999995,45678.369999999995,30173.016,15218.462999999996
2025-08-09,30888.522,30888.522,2956.2799999999997,49994.259999999995,49994.26,30795.954999999998,19105.737999999994
2025-08-08,37584.82199999999,37584.82199999999,2130.78,61216.53,61216.530000000006,37235.361,23631.708000000006
2025-08-07,35286.556000000004,35286.556000000004,1925.3400000000001,59930.2,59930.2,35088.357,24643.643999999993
2025-08-06,30311.212999999996,30311.212999999996,2389.66,50519.68,50519.68,30193.62,20208.467000000004
2025-08-05,32069.177,32069.177,1867.6999999999998,52509.99,52509.99,31973.638000000003,20440.813
2025-08-04,37868.167,37868.167,2304.93,61630.909999999996,61630.91,37678.707,23762.742999999995
2025-08-03,37011.61,37011.61,2958.32,63328.95,63328.95,36803.731999999996,26317.339999999997
2025-08-02,41860.719000000005,41860.719000000005,2988.13,69760.09,69760.09,41729.032999999996,27899.370999999992
2025-08-01,42575.33200000001,42575.33200000001,1983.5600000000002,73710.42,73710.42,42269.538,31135.08799999999
2025-07-31,47871.130999999994,47871.130999999994,2131.7999999999997,71678.47,71678.47,47679.216,23807.339000000007
2025-07-30,39862.75200000001,39862.75200000001,2676.96,58627.46000000001,58627.46000000001,39787.106,18764.708
2025-07-29,26397.922000000002,26397.922000000002,2876.630000000001,45053.28,45053.28,26228.48,18655.357999999997
2025-07-28,27368.756999999998,27368.756999999998,2635.8900000000003,47109.54,47109.54,27247.195999999996,19740.783000000003
2025-07-27,28236.143,28236.143,2345.55,49711.7,49711.700000000004,28192.154,21475.556999999997
2025-07-26,36943.879,36943.879,1868.1,59723.15,59723.15,36859.234000000004,22779.271
2025-07-25,52703.831999999995,52703.831999999995,1739.3700000000001,86295.7,86295.7,52613.77,33591.868
2025-07-24,64537.488000000005,64537.488000000005,2201.8900000000003,106216.93000000001,106216.93,64192.728,41679.442
2025-07-23,31743.884000000002,31743.884000000002,2068.1200000000003,50583.64,50583.64,31584.970999999998,18839.755999999998
