DATE,EXEC_SPEND,BIZ_SPEND,PLAT_SPEND,MMM_SPEND,DESKTOP_SPEND_DELTA,ADJUST_VS_UNIFIED_DELTA
2026-01-01,20768.658499999998,20768.6585,26246.167114999997,28831.613486000002,5477.508614999999,-8062.954986000004
2025-12-31,21080.953999999998,21080.954,25745.860753,27967.677131,4664.906753000003,-6886.7231310000025
2025-12-30,22143.753,22143.753000000004,27332.003002999998,29708.935586,5188.250002999997,-7565.182585999999
2025-12-29,20283.207300000002,20283.207300000002,24706.526173000006,26897.847799,4423.318873000004,-6614.640498999997
2025-12-28,22309.2759,22309.2759,27195.365962,29833.126137,4886.090061999999,-7523.850236999999
2025-12-27,20789.8698,20789.8698,25880.559314000006,28420.654348,5090.689514000005,-7630.784548
2025-12-26,20636.810800000003,20636.8108,25796.781189,28090.731541,5159.970388999998,-7453.920740999998
2025-12-25,19993.6192,19993.6192,24965.763571,26891.140588,4972.1443709999985,-6897.521387999997
2025-12-24,19063.013899999998,19063.013899999998,23445.472956,25322.669772,4382.459056000003,-6259.655872000003
2025-12-23,20830.535499999998,20830.535499999998,26102.728655,28078.968532,5272.193155000001,-7248.433032000001
2025-12-22,19931.959899999998,19931.9599,25198.569683999995,26916.743257000002,5266.609783999997,-6984.783357000004
2025-12-21,19956.977899999998,19956.977899999998,24896.94713,26537.572116,4939.969230000002,-6580.594216000001
2025-12-20,18093.2818,18093.2818,22284.356681,23824.989189,4191.0748810000005,-5731.707388999999
2025-12-19,18616.6861,18616.6861,23099.489877,24628.168803999997,4482.803777000001,-6011.482703999998
2025-12-18,18950.226599999998,18950.2266,23625.457307,25104.82819,4675.230707000002,-6154.601590000002
2025-12-17,19387.5226,19387.5226,23809.110072,24962.019913999997,4421.587471999999,-5574.497313999997
2025-12-16,19013.0531,19013.053099999997,23157.500378999997,24393.528913000002,4144.447278999996,-5380.475813000001
2025-12-15,19333.106700000004,19333.1067,23912.231181999996,25236.363763,4579.124481999992,-5903.257062999997
2025-12-14,21194.1247,21194.124700000004,26566.139151000003,27991.600658,5372.014451000003,-6797.475957999999
2025-12-13,20620.981900000002,20620.9819,26242.494385,27753.742031,5621.512484999999,-7132.760130999999
2025-12-12,19021.669899999997,19021.6699,23451.505545,24709.972117,4429.835645000003,-5688.302217000004
2025-12-11,18538.948,18538.948,23134.748609000002,24185.853894,4595.800609000002,-5646.9058939999995
2025-12-10,19246.646299999997,19246.6463,23629.807413,24744.053733999997,4383.161113000002,-5497.407434000001
2025-12-09,21102.408600000002,21102.4086,26160.012039,27338.782202,5057.603438999999,-6236.373601999996
