DATE,EXEC_API_INSTALLS,EXEC_SKAN,EXEC_TOTAL,EXEC_ATTRIBUTION,MMM_S3_SKAN,MMM_API,BIZ_INSTALLS
2025-08-26,6372,956,7328,5004,4992,6343,6372
2025-08-25,6224,883,7107,4919,5018,6193,6224
2025-08-24,6896,823,7719,5484,5465,6877,6896
2025-08-23,7069,891,7960,5340,5166,7045,7069
2025-08-22,6942,911,7853,5241,5084,6905,6942
2025-08-21,6994,886,7880,5432,5220,6966,6994
2025-08-20,7315,1165,8480,5508,5760,7272,7315
2025-08-19,7321,1261,8582,5870,6336,7291,7321
2025-08-18,7466,1250,8716,6046,6460,7445,7466
2025-08-17,8536,1187,9723,6880,6949,8522,8536
2025-08-16,8049,1293,9342,6395,6637,8024,8049
2025-08-15,7131,1311,8442,5684,6297,7116,7131
2025-08-14,7281,1354,8635,5861,6549,7262,7281
2025-08-13,7419,1494,8913,6012,6840,7390,7419
2025-08-12,7891,1606,9497,6428,7450,7865,7891
2025-08-11,8118,1521,9639,6654,7523,8095,8118
2025-08-10,8928,1466,10394,7350,7999,8903,8928
2025-08-09,8558,1534,10092,6925,7656,8537,8558
2025-08-08,8222,1578,9800,6708,7466,8203,8222
2025-08-07,8651,1684,10335,7105,7798,8622,8651
2025-08-06,8867,1764,10631,7263,8129,8845,8867
2025-08-05,9605,1912,11517,7756,8663,9576,9605
2025-08-04,10296,1829,12125,8396,8979,10269,10296
2025-08-03,11433,1777,13210,9227,9558,11411,11433
2025-08-02,10424,1831,12255,8337,8852,10402,10424
2025-08-01,10203,1880,12083,8150,8893,10172,10203
2025-07-31,10383,1829,12212,8205,8764,10360,10383
2025-07-30,10270,1733,12003,8102,8547,10246,10270
2025-07-29,10316,1703,12019,8212,8509,10282,10316
2025-07-28,10066,1511,11577,8003,8036,10046,10066
2025-07-27,10426,1214,11640,8231,7884,10409,10426
2025-07-26,8955,1201,10156,6860,6755,8934,8955
2025-07-25,7870,1257,9127,5891,5963,7852,7870
2025-07-24,8089,1249,9338,6113,5922,8071,8089
2025-07-23,8346,1313,9659,6124,6036,8317,8346
2025-07-22,8611,1424,10035,6521,6273,8584,8611
2025-07-21,8626,1403,10029,6639,6756,8609,8626
2025-07-20,9447,1362,10809,7277,7366,9431,9447
2025-07-19,8979,1230,10209,6868,6881,8956,8979
2025-07-18,8485,1300,9785,6418,6492,8469,8485
2025-07-17,8104,1297,9401,6165,6226,8080,8104
2025-07-16,7721,1460,9181,5761,6286,7699,7721
2025-07-15,7923,1399,9322,5961,6351,7903,7923
2025-07-14,8189,1386,9575,6168,6525,8166,8189
2025-07-13,8730,1225,9955,6616,6594,8707,8730
2025-07-12,8239,1150,9389,6077,6102,8220,8239
2025-07-11,7713,1189,8902,5852,5910,7699,7713
2025-07-10,7854,1206,9060,5841,5841,7831,7854
2025-07-09,7479,1218,8697,5586,5638,7462,7479
2025-07-08,7440,1288,8728,5611,5745,7419,7440
2025-07-07,7793,1329,9122,5875,6044,7779,7793
2025-07-06,8568,1168,9736,6635,6458,8556,8568
2025-07-05,7962,1146,9108,5953,5853,7948,7962
2025-07-04,7793,1258,9051,5788,5898,7766,7793
2025-07-03,8093,1231,9324,5992,6070,8067,8093
2025-07-02,7790,1368,9158,5915,6089,7771,7790
2025-07-01,7849,1347,9196,6007,6244,7836,7849
2025-06-30,8241,1418,9659,6332,6513,8222,8241
2025-06-29,8829,1283,10112,6640,6553,8811,8829
2025-06-28,8600,1267,9867,6358,6313,8583,8600
2025-06-27,8120,1330,9450,6091,6206,8104,8120
